,tittle,hash,chapter,kitsu_id
79,[PuyaSubs!] Black Clover - 148 [ESP-ENG][720p][F96DAC6A].mkv,77761fc2b91ac553014d4fb2740fe43794777941,148,13209
80,[PuyaSubs!] Black Clover - 148 [ESP-ENG][1080p][20A1D2B8].mkv,e8929cfe67753b1589c325014f4c89047c351fd2,148,13209
81,[PuyaSubs!] Shadowverse TV - 27 [ESP-ENG][720p][790403D6].mkv,45943e94986d3e95e9c7c4d2461b5e1df0f319a3,27,null
82,[PuyaSubs!] Shadowverse TV - 27 [ESP-ENG][1080p][23D70D94].mkv,bc6fecbdd937f23acc81fcc0e2ccfb44a5e56729,27,null
83,[PuyaSubs!] Sore dake ga Neck - 02 [ESP-ENG][720p][4B133CCA].mkv,78d21057724c34596ea3905c9dc3d698e72e8910,2,43549
84,[PuyaSubs!] Sore dake ga Neck - 02 [ESP-ENG][1080p][C9A14B14].mkv,1259197e63a056dac4f18bb24b6273c7c026d07e,2,43549
85,[PuyaSubs!] Osomatsu-san 3 - 02 [ESP-ENG][720p][30231317].mkv,563deb9bc611b2740767fc64ee73d5793dabc7c9,2,null
86,[PuyaSubs!] Osomatsu-san 3 - 02 [ESP-ENG][1080p][F77EDB53].mkv,46a69aeeb8928663cc32f9ca17b4a3f74f4fba8e,2,null
87,[PuyaSubs!] One Room 3 - 03 [ESP-ENG][720p][EEDFDA44].mkv,f02234051f09fe89c9785aa0a5fcf9078cc99f2d,3,43556
88,[PuyaSubs!] One Room 3 - 03 [ESP-ENG][1080p][C0C97313].mkv,1b79db5aafcea4afbaf9420d50b82c7b4452ffc7,3,43556
89,[PuyaSubs!] Golden Kamuy 3 - 27 [ESP-ENG][720p][FFA329FF].mkv,22d234d7cbf8e84ac7264d8b5050b8569cd9b3ff,27,42435
90,[PuyaSubs!] Golden Kamuy 3 - 27 [ESP-ENG][1080p][B696A0A1].mkv,fae0f42e1c6c54a3bc6fff7da0f1ad8ff59088eb,27,42435
91,[PuyaSubs!] Olympia Kyklos - 22 [ESP-ENG][720p][D551B468].mkv,a29eca9ad86b73935027a3e9a9e8fd1ee21bd1e1,22,null
92,[PuyaSubs!] Olympia Kyklos - 22 [ESP-ENG][1080p][9144928F].mkv,8a09806f94361b4dab6a09f202c90f8c4ba10a9c,22,null
93,[PuyaSubs!] Himitsu Kessha Taka no Tsume - Golden Spell - 03 [ESP-ENG][720p][F99CB97A].mkv,f821872ecd8766df83dbdac92c63f6c7b8f1fefb,3,null
94,[PuyaSubs!] Himitsu Kessha Taka no Tsume - Golden Spell - 03 [ESP-ENG][1080p][FD455969].mkv,485a68c62b4c9000a4c2d85f7fa802d6daca0945,3,null
95,[PuyaSubs!] IDOLiSH7 - Second Beat! - 05 [ESP-ENG][720p][5B85A3D9].mkv,a263530eff9820cfff0af64a43e1e686a04dcdf1,5,null
96,[PuyaSubs!] IDOLiSH7 - Second Beat! - 05 [ESP-ENG][1080p][2B27403E].mkv,f65c684877df8a15e7c81c2d2714abde4e79291a,5,null
97,[PuyaSubs!] One Piece - 946 [ESP-ENG][720p][76BFC245].mkv,235ded8a030b189148d1138eceaa726c73560642,946,12
98,[PuyaSubs!] One Piece - 946 [ESP-ENG][1080p][699B02A6].mkv,dc1ccecda9997a4c3fb9b890eec34d422065591e,946,12
